tournament_id,course_name,round_number,hole_number,hole_par,hole_yards,hole_scoring_average,hole_birdies,hole_bogeys
R2023016,Plantation Course at Kapalua,4,1,4,525,3.97,6,5
R2023016,Plantation Course at Kapalua,4,2,3,214,2.92,6,3
R2023016,Plantation Course at Kapalua,4,3,4,420,3.84,11,3
R2023016,Plantation Course at Kapalua,4,4,4,420,3.89,10,6
R2023016,Plantation Course at Kapalua,4,5,5,511,4.18,27,2
R2023016,Plantation Course at Kapalua,4,6,4,434,3.71,13,2
R2023016,Plantation Course at Kapalua,4,7,4,531,3.87,7,2
R2023016,Plantation Course at Kapalua,4,8,3,198,2.92,5,2
R2023016,Plantation Course at Kapalua,4,9,5,545,4.53,20,0
R2023016,Plantation Course at Kapalua,4,10,4,396,3.95,7,5
R2023016,Plantation Course at Kapalua,4,11,3,166,2.97,10,6
R2023016,Plantation Course at Kapalua,4,12,4,412,3.71,11,0
R2023016,Plantation Course at Kapalua,4,13,4,378,3.92,5,2
R2023016,Plantation Course at Kapalua,4,14,4,284,3.68,19,4
R2023016,Plantation Course at Kapalua,4,15,5,530,4.34,20,3
R2023016,Plantation Course at Kapalua,4,16,4,360,3.82,11,2
R2023016,Plantation Course at Kapalua,4,17,4,546,4.13,1,6
R2023016,Plantation Course at Kapalua,4,18,5,672,4.24,28,1
R2023016,Plantation Course at Kapalua,3,1,4,507,4.16,2,8
R2023016,Plantation Course at Kapalua,3,2,3,186,2.92,7,4
R2023016,Plantation Course at Kapalua,3,3,4,423,3.92,4,1
R2023016,Plantation Course at Kapalua,3,4,4,415,4.08,1,4
R2023016,Plantation Course at Kapalua,3,5,5,530,4.03,29,0
R2023016,Plantation Course at Kapalua,3,6,4,417,3.68,13,1
R2023016,Plantation Course at Kapalua,3,7,4,532,3.97,3,2
R2023016,Plantation Course at Kapalua,3,8,3,204,2.84,9,3
R2023016,Plantation Course at Kapalua,3,9,5,544,4.66,15,2
R2023016,Plantation Course at Kapalua,3,10,4,377,3.82,10,3
R2023016,Plantation Course at Kapalua,3,11,3,160,3.05,2,2
R2023016,Plantation Course at Kapalua,3,12,4,419,3.68,14,2
R2023016,Plantation Course at Kapalua,3,13,4,386,4.08,9,8
R2023016,Plantation Course at Kapalua,3,14,4,285,3.71,14,3
R2023016,Plantation Course at Kapalua,3,15,5,527,4.42,23,5
R2023016,Plantation Course at Kapalua,3,16,4,373,3.53,20,2
R2023016,Plantation Course at Kapalua,3,17,4,547,4.13,3,6
R2023016,Plantation Course at Kapalua,3,18,5,648,4.24,27,0
R2023016,Plantation Course at Kapalua,2,1,4,528,4.0,4,4
R2023016,Plantation Course at Kapalua,2,2,3,227,2.79,10,2
R2023016,Plantation Course at Kapalua,2,3,4,418,4.03,7,5
R2023016,Plantation Course at Kapalua,2,4,4,421,4.18,4,11
R2023016,Plantation Course at Kapalua,2,5,5,523,4.0,34,0
R2023016,Plantation Course at Kapalua,2,6,4,426,3.95,5,4
R2023016,Plantation Course at Kapalua,2,7,4,535,3.84,8,2
R2023016,Plantation Course at Kapalua,2,8,3,192,3.08,6,5
R2023016,Plantation Course at Kapalua,2,9,5,544,4.82,14,5
R2023016,Plantation Course at Kapalua,2,10,4,391,3.76,10,1
R2023016,Plantation Course at Kapalua,2,11,3,174,2.89,7,3
R2023016,Plantation Course at Kapalua,2,12,4,426,4.0,6,4
R2023016,Plantation Course at Kapalua,2,13,4,390,4.26,3,11
R2023016,Plantation Course at Kapalua,2,14,4,292,3.63,17,3
R2023016,Plantation Course at Kapalua,2,15,5,545,4.5,21,6
R2023016,Plantation Course at Kapalua,2,16,4,366,3.84,12,6
R2023016,Plantation Course at Kapalua,2,17,4,532,3.89,10,4
R2023016,Plantation Course at Kapalua,2,18,5,669,4.47,22,0
R2023016,Plantation Course at Kapalua,1,1,4,520,4.08,1,4
R2023016,Plantation Course at Kapalua,1,2,3,219,3.13,2,7
R2023016,Plantation Course at Kapalua,1,3,4,415,3.79,9,1
R2023016,Plantation Course at Kapalua,1,4,4,431,4.0,6,6
R2023016,Plantation Course at Kapalua,1,5,5,522,4.05,27,0
R2023016,Plantation Course at Kapalua,1,6,4,427,3.72,11,2
R2023016,Plantation Course at Kapalua,1,7,4,527,4.0,6,6
R2023016,Plantation Course at Kapalua,1,8,3,183,2.85,8,2
R2023016,Plantation Course at Kapalua,1,9,5,540,4.41,25,4
R2023016,Plantation Course at Kapalua,1,10,4,384,3.62,15,0
R2023016,Plantation Course at Kapalua,1,11,3,154,2.85,6,0
R2023016,Plantation Course at Kapalua,1,12,4,432,3.62,17,2
R2023016,Plantation Course at Kapalua,1,13,4,378,4.08,8,7
R2023016,Plantation Course at Kapalua,1,14,4,283,3.44,23,3
R2023016,Plantation Course at Kapalua,1,15,5,548,4.51,20,3
R2023016,Plantation Course at Kapalua,1,16,4,375,3.67,14,1
R2023016,Plantation Course at Kapalua,1,17,4,551,4.03,7,3
R2023016,Plantation Course at Kapalua,1,18,5,676,4.41,24,1
