player_id,name,season,collected_at,strokes_gained_driving_sg_tee_to_green,strokes_gained_driving_sg_tee_to_green_rank,strokes_gained_driving_sg_tee_to_green_sg:ott,strokes_gained_driving_sg_off_the_tee,strokes_gained_driving_sg_off_the_tee_rank,strokes_gained_driving_sg_off_the_tee_total_sg:ott,strokes_gained_putting_sg_putting,strokes_gained_putting_sg_putting_rank,strokes_gained_putting_sg_putting_total_sg:putting
49303,Anders Albertson,2023,2025-03-22 03:19:25.323,-1.71,,-0.75,-0.75,,-12.751,0.753,,12.803
33948,Byeong Hun An,2023,2025-03-22 03:24:17.922,0.892,23.0,0.447,0.447,27.0,39.815,-0.194,144.0,-17.247
52370,Mason Andersen,2023,2025-03-22 03:26:33.650,,,,,,,,,
52955,Ludvig Åberg,2023,2025-03-22 03:28:13.877,1.185,10.0,0.982,0.982,2.0,44.195,0.322,42.0,14.495
22371,Aaron Baddeley,2023,2025-03-22 03:30:06.870,-0.162,128.0,-0.586,-0.586,187.0,-34.569,0.384,31.0,22.63
45522,Christiaan Bezuidenhout,2023,2025-03-22 03:33:56.254,-0.023,115.0,-0.38,-0.38,171.0,-30.036,0.239,53.0,18.856
56630,Akshay Bhatia,2023,2025-03-22 03:36:13.356,0.746,34.0,0.389,0.389,32.0,22.574,-0.505,183.0,-29.283
40058,Zac Blair,2023,2025-03-22 03:37:59.190,0.046,106.0,-0.264,-0.264,156.0,-16.652,0.004,97.0,0.245
33141,Keegan Bradley,2023,2025-03-22 03:39:52.045,0.438,47.0,0.202,0.202,58.0,13.503,0.447,20.0,29.951
34255,Joseph Bramlett,2023,2025-03-22 03:41:38.369,0.751,33.0,0.226,0.226,54.0,15.376,-0.297,160.0,-20.182
28420,Ryan Brehm,2023,2025-03-22 03:43:32.941,-1.37,190.0,-0.376,-0.376,169.0,-25.217,0.212,61.0,14.181
60004,Jacob Bridgeman,2023,2025-03-22 03:45:45.661,-0.265,,-0.378,-0.378,,-2.643,0.146,,1.021
48084,Wesley Bryan,2023,2025-03-22 03:47:47.645,-0.59,167.0,-0.446,-0.446,180.0,-13.819,-0.483,180.0,-14.976
55708,Hayden Buckley,2023,2025-03-22 03:49:31.456,-0.028,116.0,0.611,0.611,10.0,39.708,0.051,86.0,3.326
47504,Sam Burns,2023,2025-03-22 03:53:18.593,0.212,84.0,0.266,0.266,46.0,19.409,0.584,8.0,42.609
32070,Rafael Campos,2023,2025-03-22 03:56:52.936,-1.18,,0.852,0.852,,0.852,-4.044,,-4.044
35450,Patrick Cantlay,2023,2025-03-22 03:58:46.429,1.564,3.0,0.852,0.852,4.0,52.812,0.305,47.0,18.884
49590,Frankie Capan III,2023,2025-03-22 04:00:46.770,-1.498,,-0.073,-0.073,,-0.437,0.027,,0.162
59440,Ricky Castillo,2023,2025-03-22 04:02:33.840,,,,,,,,,
52372,Cameron Champ,2023,2025-03-22 04:07:03.297,-0.141,122.0,0.49,0.49,19.0,28.887,-0.312,165.0,-18.386
32366,Kevin Chappell,2023,2025-03-22 04:12:02.212,-0.116,119.0,-0.165,-0.165,138.0,-5.951,-0.04,106.0,-1.452
20229,Stewart Cink,2023,2025-03-22 04:14:37.988,-0.326,153.0,-0.317,-0.317,162.0,-20.899,-0.084,109.0,-5.553
51766,Wyndham Clark,2023,2025-03-22 04:16:53.345,0.831,28.0,0.139,0.139,74.0,11.954,0.37,33.0,31.843
47591,Eric Cole,2023,2025-03-22 04:18:42.923,0.559,40.0,-0.268,-0.268,158.0,-29.25,0.505,13.0,55.055
49453,Trevor Cone,2023,2025-03-22 04:21:28.171,-0.147,125.0,0.55,0.55,14.0,34.67,-0.197,145.0,-12.418
39997,Corey Conners,2023,2025-03-22 04:23:09.430,1.055,13.0,0.586,0.586,11.0,43.956,-0.136,128.0,-10.226
59442,Parker Coody,2023,2025-03-22 04:25:27.299,-1.169,,-0.365,-0.365,,-2.189,-0.15,,-0.897
59836,Pierceson Coody,2023,2025-03-22 04:28:45.007,-0.663,,-0.107,-0.107,,-2.134,0.15,,3.007
46435,Austin Cook,2023,2025-03-22 04:30:31.195,-0.622,169.0,-0.564,-0.564,185.0,-31.59,-0.135,127.0,-7.537
52514,Trace Crowe,2023,2025-03-22 04:35:33.819,-0.06,,-0.367,-0.367,,-2.939,0.477,,3.819
58605,Quade Cummins,2023,2025-03-22 04:39:09.882,-0.104,,-0.391,-0.391,,-0.782,0.177,,0.355
39067,MJ Daffue,2023,2025-03-22 04:41:11.623,-0.001,111.0,0.571,0.571,13.0,42.263,-0.209,148.0,-15.494
34076,Joel Dahmen,2023,2025-03-22 04:43:54.025,0.418,51.0,0.184,0.184,65.0,13.464,-0.603,188.0,-44.051
45157,Cam Davis,2023,2025-03-22 04:47:48.018,0.865,25.0,0.514,0.514,17.0,41.082,-0.127,123.0,-10.173
