avg_front_nine,last4_position_numeric,victory_potential,first_year,pars_pct,par3_birdie_pct,career_top_25,par4_avg,data_completeness,course_win_history,last5_score,recent_best_score,bogeys,career_top25,standings_rank,avg_finish_history,last2_position_numeric,putting_weaknesses,best_front_nine,recent_avg_finish_percentile,par3_bogey_pct,putting_strengths,wind_variability,par5_bogey_pct,history_best_sg_value,seconds,par4_bogey_pct,par3_par_pct,fit_component,best_back_nine,positive_sg_count,worst_score_to_par_history,front_nine_par_pct,strength_weakness_ratio,player_id,top10,par5_birdie_pct,season_scaled,approach_top50_count,cuts_made_history,pars,finish_std_history,recent_top10,top_10,recent_median_finish,top25_rate,third,last3_score,approach_rank_avg,wins,off_tee_strengths_scaled,off_tee_avg_scaled,approach_weaknesses,last1_position_numeric,worst_round_score,most_recent_position,top5,worst_finish_history,second,position_momentum,off_tee_rank_avg_scaled,recent_top5,avg_back_nine,top_25_pct,success_ratio,best_finish_history,owgr,career_wins,last1_score,first_year_played_history,events,score_std_history,score_std_5,history_sg_app,top_10_pct,off_tee_bottom50_count_scaled,front_nine_birdie_pct,recent_avg_score,par,top_25,score_trend,fedex_fall_total,score,recent_form_rating_numeric,top25,last_year_played_history,par3_avg,normalized_fit_score,last3_position_numeric,others,form_vs_history,cuts_made_pct,approach_strengths,first_to_last_diff,history_sg_p_pct,recent_weighted_finish,course_history_score,best_total_score_history,scoring_variability,last2_score,tournament_id_standard,recent_best_finish,international_wins,avg_total_score_history,total_rounds,history_sg_short_game,tournament_id,history_sg_atg,max_birdie_streak,history_sg_p,birdies,thirds,putting_rank_worst,owgr_score,recent_wins,career_events,eagles,approach_bottom50_count_scaled,last5_position_numeric,back_nine_bogey_pct,par4_birdie_pct,top_25_finishes,win_rate,par3_eagle_pct,achievement_fedexcup_champion_scaled,worst_total_score_history,putting_top50_count,overall_rank_best,negative_sg_count,recent_score_std,front_nine_bogey_pct,cuts_made,course_age,par5_avg,par3_holes,recent_vs_history,consistency_ratio_history,recent_top25,par4_eagle_pct,top_quartile_count,pars_per_round,history_sg_differential,best_score_to_par_history,par4_par_pct,experience_level_numeric,max_bogey_streak,approach_rank_best,par5_par_pct,last4_score,recent_finish_std,history_sg_tot,back_nine_par_pct,par4_holes,career_success_score,fringe_play_avg_scaled,history_worst_sg_value,history_sg_ott
,,,2007.0,59.578544061302686,,179.0,,0.5454545454545454,20,,,,4.0,1.0,4.0,,,,,,,4.738055156566528,,,0.0,,,,,,-15,,,28237,,,0.35355339059327373,,1,,,,2.0,,,11.0,,,2.0,-1.2060453783110545,-1.04491901287589,,,,,,4.0,11.0,,-0.5528336711899028,,,1.0,,4.0,2.0,28.0,,2019,4.0,,,,0.5,-0.19611613513818404,,,73,4.0,,-16.0,,,,2019,,,,,,1.0,,,,,,277,,,R2025016,,11.0,277.0,,,R2025016,,,,,0.0,,969.897000433602,,261.0,,-0.5779204918167031,,,,,,,-0.7071048435266734,277,,,,,,4.0,34,,,,1.0,,,,,,-15,,3.0,,,,,,,,,6000.0,-0.4429629964412561,,
33.75,39.0,41.38583488557549,2009.0,59.578544061302686,25.0,140.0,3.9318181818181817,1.0,100,-5.0,-19.0,4.0,3.0,9.0,11.88888888888889,2.0,0.0,30.0,0.6,8.333333333333332,1.0,4.738055156566528,0.0,0.856,2.0,6.8181818181818175,66.66666666666666,77.24655819774718,33.0,4.0,-4,50.0,3.9960039960039966,33448,2.0,62.5,0.35355339059327373,1.0,9,40.0,11.174126861241156,2.0,4.0,14.0,1.0,13.0,-14.0,16.0,0.0,-1.2060453783110545,-1.04491901287589,0.0,3.0,71.0,25.0,2.0,26.0,8.0,18.25,-0.5528336711899028,2.0,34.5,0.5,0.0,1.0,9.0,15.0,-18.0,2016,8.0,6.716480559869962,3.774917217635375,0.856,0.5,-0.19611613513818404,36.11111111111111,-10.8,73,4.0,-2.7,-14.0,23.0,1.0,3.0,2025,2.833333333333333,0.0,14.0,2.0,-1.0,1.0,1.0,-8.0,-0.5817711700064642,11.533333333333331,43.125,267,0.8381317251675863,-19.0,R2025016,2.0,0.0,275.1111111111111,20.0,0.6789999999999999,R2025016,0.688,5.0,-0.009,24.0,0.0,39.0,904.5757490560676,0.0,248.0,2.0,-0.5779204918167031,30.0,8.333333333333332,25.0,0.0,0.0,0.0,1.4124582714897898,288,1.0,8.0,1.0,8.084553172563094,2.7777777777777777,8.0,34,4.125,12.0,21.0,0.8888888888888888,3.0,0.0,2.0,10.0,0.865,-25,63.63636363636363,3.0,1.0,16.0,25.0,2.0,14.705101155721438,1.547,61.11111111111112,44.0,3285.7142857142853,3.1812797017144754,-0.009,0.012
35.0,24.0,13.585556405149578,2010.0,59.578544061302686,16.666666666666664,63.0,3.772727272727273,1.0,20,1.0,-8.0,2.0,2.0,53.0,18.0,13.0,1.0,32.0,1.0,0.0,0.0,4.738055156566528,0.0,0.767,0.0,4.545454545454546,66.66666666666666,42.53447819389621,33.0,2.0,-16,66.66666666666666,0.6664445184938355,33948,1.0,50.0,0.35355339059327373,0.0,2,46.0,19.79898987322333,0.0,1.0,21.0,0.25,4.0,-4.0,55.0,0.0,-1.2060453783110545,-1.04491901287589,1.0,21.0,70.0,4.0,1.0,32.0,5.0,-0.25,-0.5528336711899028,0.0,34.0,0.3333333333333333,0.0,4.0,34.0,0.0,-8.0,2024,9.0,7.071067811865476,1.4142135623730951,0.155,0.1111111111111111,-0.19611613513818404,27.77777777777778,-4.4,73,3.0,-1.0,-8.0,38.0,0.0,1.0,2025,3.1666666666666665,100.0,33.0,2.0,-1.0,0.6666666666666666,0.0,-3.0,34.15549597855228,21.133333333333333,30.0,266,0.7315813472236931,-5.0,R2025016,13.0,4.0,271.0,20.0,1.404,R2025016,0.767,4.0,0.637,22.0,0.0,53.0,846.8521082957745,0.0,211.0,0.0,-0.5779204918167031,13.0,5.555555555555555,27.27272727272727,0.0,0.0,0.0,-0.7071048435266734,276,0.0,13.0,3.0,3.006659275674582,0.0,6.0,34,4.5,12.0,,0.5,4.0,0.0,1.0,11.5,0.612,-26,68.18181818181817,3.0,1.0,55.0,50.0,-6.0,7.493997598078078,1.865,61.11111111111112,44.0,1625.0,1.9731988023292313,0.155,0.306
,,,2010.0,59.578544061302686,,151.0,,0.5454545454545454,100,,,,2.0,61.0,7.428571428571429,,,,,,,4.738055156566528,,,0.0,,,,,,-12,,,34046,,,0.35355339059327373,,7,,7.390470053998435,,2.0,,,11.0,,,0.0,-1.2060453783110545,-1.04491901287589,,,,,,21.0,18.0,,-0.5528336711899028,,,0.3333333333333333,,1.0,64.0,13.0,,2014,6.0,6.298147875897061,,,0.3333333333333333,-0.19611613513818404,,,73,2.0,,795.0,,,,2024,,,,,,0.8333333333333334,,,,,,262,,,R2025016,,2.0,272.0,,,R2025016,,,,,0.0,,819.3820026016112,,287.0,,-0.5779204918167031,,,,,,,1.4103565728135217,280,,,,,,5.0,34,,,,1.0,,,,,,-30,,3.0,,,,,,,,,2800.0,-0.4429629964412561,,
,,,,59.578544061302686,,,,0.2727272727272727,20,,,,,,14.0,,,,,,,4.738055156566528,,,,,,,,,-8,,,35891,,,-2.82842712474619,,3,,11.789826122551595,,,,,,,,,-1.2060453783110545,-1.04491901287589,,,,,,24.0,,,-0.5528336711899028,,,,,1.0,,,,2018,,13.613718571108093,,,,-0.19611613513818404,,,73,,,,,,,2022,,,,,,,,,,,,258,,,R2025016,,,273.3333333333333,,,R2025016,,,,,,,,,,,-0.5779204918167031,,,,,,,-0.7071048435266734,284,,,,,,,34,,,,1.0,,,,,,-34,,,,,,,,,,,,-0.4429629964412561,,
33.0,11.0,35.76483900154092,2018.0,59.578544061302686,16.666666666666664,96.0,3.6818181818181817,1.0,80,-3.0,-18.0,4.0,3.0,24.0,6.8,13.0,0.0,31.0,0.2,0.0,1.0,4.738055156566528,0.0,0.699,0.0,9.090909090909092,83.33333333333334,97.3076923076923,31.0,4.0,-19,52.77777777777778,3.9960039960039966,39971,3.0,68.75,0.35355339059327373,1.0,5,36.0,3.898717737923585,2.0,2.0,11.0,1.0,6.0,-18.0,14.0,0.0,-1.2060453783110545,-1.04491901287589,0.0,9.0,69.0,5.0,2.0,13.0,5.0,8.75,-0.5528336711899028,0.0,32.75,0.3333333333333333,1.0,3.0,24.0,2.0,-8.0,2021,9.0,3.8470768123342687,2.9860788111948198,0.699,0.2222222222222222,-0.19611613513818404,36.11111111111111,-9.2,73,3.0,-1.7,-18.0,27.0,1.0,4.0,2025,2.833333333333333,26.666666666666668,7.0,0.0,-3.0,0.6666666666666666,1.0,-4.0,6.940063091482649,12.0,93.4375,263,0.7152212741861873,-11.0,R2025016,7.0,3.0,268.4,20.0,0.074,R2025016,-0.014,4.0,0.088,31.0,1.0,36.0,861.9788758288394,0.0,190.0,1.0,-0.5779204918167031,40.0,2.7777777777777777,40.909090909090914,1.0,0.0,0.0,-0.7071048435266734,273,1.0,13.0,1.0,5.114684741017769,8.333333333333332,6.0,34,4.1875,12.0,-3.666666666666666,1.0,4.0,0.0,2.0,9.0,0.713,-29,50.0,2.0,1.0,14.0,25.0,-6.0,12.16552506059644,1.268,47.22222222222222,44.0,2000.0,2.5772392520218537,-0.014,0.495
34.25,50.0,12.542835015951042,2013.0,59.578544061302686,16.666666666666664,83.0,3.727272727272727,1.0,20,-12.0,-24.0,5.0,4.0,7.0,18.75,7.0,1.0,32.0,0.8,0.0,0.0,4.738055156566528,12.5,0.682,0.0,6.8181818181818175,83.33333333333334,22.96662895927602,31.0,3.0,-2,66.66666666666666,1.4992503748125938,39997,0.0,50.0,0.35355339059327373,1.0,4,40.0,11.4418821295566,3.0,4.0,9.0,0.5,4.0,-4.0,31.0,0.0,-1.2060453783110545,-1.04491901287589,0.0,4.0,69.0,33.0,0.0,33.0,1.0,18.0,-0.5528336711899028,1.0,32.75,0.625,1.0,5.0,23.0,2.0,-24.0,2020,8.0,9.358596760910972,1.4142135623730951,0.682,0.5,-0.19611613513818404,22.22222222222222,-10.6,73,5.0,0.5999999999999995,,34.0,1.0,2.0,2025,2.833333333333333,73.33333333333333,22.0,0.0,-3.0,0.875,1.0,1.0,935.0649350649352,14.866666666666667,89.0625,268,0.7911877721292355,-12.0,R2025016,4.0,0.0,276.75,19.0,-0.911,R2025016,-0.191,5.0,-0.72,25.0,1.0,51.0,863.8272163982407,0.0,198.0,2.0,-0.5779204918167031,9.0,5.555555555555555,34.090909090909086,1.0,0.0,0.0,-0.7071048435266734,290,0.0,25.0,2.0,7.989993742175272,8.333333333333332,7.0,34,4.375,12.0,14.5,0.75,4.0,0.0,0.0,10.0,1.402,-24,59.09090909090909,3.0,2.0,31.0,25.0,-1.0,16.95405556201819,-0.077,44.44444444444444,44.0,3000.0,1.0067340828210365,-0.72,0.152
,,,2014.0,59.578544061302686,,92.0,,0.5454545454545454,40,,,,5.0,15.0,8.333333333333334,,,,,,,4.738055156566528,,,0.0,,,,,,-17,,,46046,,,0.35355339059327373,,3,,4.163331998932266,,2.0,,,11.0,,,0.0,-1.2060453783110545,-1.04491901287589,,,,,,13.0,9.0,,-0.5528336711899028,,,1.0,,5.0,1.0,13.0,,2021,5.0,4.0,,,0.4,-0.19611613513818404,,,73,5.0,,-30.0,,,,2024,,,,,,1.0,,,,,,267,,,R2025016,,1.0,271.0,,,R2025016,,,,,1.0,,1000.0,,135.0,,-0.5779204918167031,,,,,,,1.4198142168567285,275,,,,,,5.0,34,,,,1.0,,,,,,-25,,3.0,,,,,,,,,3200.0,-0.4429629964412561,,
32.75,2.0,25.66031383951993,2022.0,59.578544061302686,16.666666666666664,26.0,3.75,1.0,20,-3.0,-12.0,5.0,3.0,6.0,26.0,17.0,1.0,31.0,0.4,16.666666666666664,0.0,4.738055156566528,0.0,-0.087,0.0,6.8181818181818175,66.66666666666666,38.93689226918263,33.0,3.0,-13,55.55555555555556,1.4992503748125938,52955,0.0,56.25,0.35355339059327373,1.0,2,40.0,29.698484809834994,2.0,2.0,16.0,0.0,,-12.0,22.0,1.0,-1.2060453783110545,-1.04491901287589,0.0,6.0,70.0,47.0,0.0,47.0,4.0,12.75,-0.5528336711899028,1.0,34.25,0.5,1.0,5.0,5.0,2.0,-12.0,2024,6.0,7.7781745930520225,2.943920288775949,-0.087,0.3333333333333333,-0.19611613513818404,33.33333333333333,-9.6,73,3.0,-2.0,-12.0,33.0,1.0,0.0,2025,3.0,66.66666666666666,16.0,0.0,-3.0,0.8333333333333334,1.0,-5.0,62.09386281588447,12.666666666666666,89.0625,268,0.6965149103531725,-10.0,R2025016,2.0,1.0,273.5,20.0,-1.049,R2025016,-0.189,4.0,-0.86,25.0,0.0,49.0,930.102999566398,0.0,42.0,2.0,-0.5779204918167031,40.0,8.333333333333332,31.818181818181817,1.0,0.0,0.0,-0.7071048435266734,279,1.0,22.0,2.0,3.3823069050575527,5.555555555555555,5.0,34,4.1875,12.0,,0.5,4.0,0.0,0.0,10.0,0.773,-24,61.36363636363637,1.0,2.0,22.0,31.25,-11.0,13.212115651930995,-1.385,55.55555555555556,44.0,3500.0,1.0067340828210365,-0.86,-0.25
33.5,9.0,50.95755624633241,2007.0,62.57716049382716,6.25,179.0,3.85,1.0,100,-6.0,-21.0,10.0,4.0,1.0,13.666666666666666,17.0,,31.0,0.25,18.75,,4.880573736764972,6.25,0.809,0.0,15.0,75.0,26.97511961722488,32.0,2.0,10,52.77777777777778,0.9995002498750624,28237,0.0,43.75,0.35355339059327373,1.0,9,41.0,12.767145334803704,2.0,2.0,11.0,0.5,11.0,-21.0,79.33333333333333,2.0,0.8291561975888502,0.702004414223121,1.0,15.0,73.0,19.0,0.0,35.0,11.0,-5.5,0.2920630715720241,1.0,35.5,1.0,1.0,1.0,2.0,28.0,-3.0,2009,4.0,7.638873015856524,2.70801280154532,0.809,0.5,-0.19611613513818404,33.33333333333333,-9.8,72,4.0,0.7999999999999998,-16.0,72.0,2.0,1.0,2025,3.125,72.22222222222221,1.0,0.0,-2.0,1.0,1.0,1.0,11728.571428571428,11.666666666666666,98.85245901639344,145,0.7872218936609645,-3.0,R2025011,1.0,11.0,227.66666666666663,20.0,-1.017,R2025011,-0.196,4.0,-0.821,20.0,0.0,,969.897000433602,1.0,261.0,1.0,1.822672320344987,11.0,16.666666666666664,30.0,1.0,0.0,0.0,-0.7071048435266734,290,,18.0,2.0,7.35934779718964,11.11111111111111,4.0,45,4.5,16.0,-14.0,0.7777777777777778,5.0,0.0,2.0,10.25,1.63,-16,55.00000000000001,3.0,2.0,31.0,43.75,-16.0,5.571355310873648,-0.007,61.11111111111112,40.0,6000.0,-0.4429629964412561,-0.821,0.202
